original_size,size_increase,total_size,accuracy,training_epochs,model
1000,9000,10000,0.8037999868392944,30,cnn
2000,8000,10000,0.8288000226020813,30,cnn
3000,7000,10000,0.8525000214576721,30,cnn
4000,6000,10000,0.866599977016449,30,cnn
5000,5000,10000,0.8669000267982483,30,cnn
6000,4000,10000,0.8723000288009644,30,cnn
7000,3000,10000,0.8774999976158142,30,cnn
8000,2000,10000,0.8781999945640564,30,cnn
9000,1000,10000,0.881600022315979,30,cnn
10000,0,10000,0.8827999830245972,30,cnn
1000,9000,10000,0.7389000058174133,30,simple_cnn
2000,8000,10000,0.7799000144004822,30,simple_cnn
3000,7000,10000,0.7957000136375427,30,simple_cnn
4000,6000,10000,0.8133000135421753,30,simple_cnn
5000,5000,10000,0.8116000294685364,30,simple_cnn
6000,4000,10000,0.8192999958992004,30,simple_cnn
7000,3000,10000,0.828000009059906,30,simple_cnn
8000,2000,10000,0.8343999981880188,30,simple_cnn
9000,1000,10000,0.8299999833106995,30,simple_cnn
10000,0,10000,0.8378000259399414,30,simple_cnn
1000,9000,10000,0.6452999711036682,30,dense
2000,8000,10000,0.6779000163078308,30,dense
3000,7000,10000,0.6919000148773193,30,dense
4000,6000,10000,0.7042999863624573,30,dense
5000,5000,10000,0.7037000060081482,30,dense
6000,4000,10000,0.7184000015258789,30,dense
7000,3000,10000,0.7213000059127808,30,dense
8000,2000,10000,0.7267000079154968,30,dense
9000,1000,10000,0.7271000146865845,30,dense
10000,0,10000,0.7268999814987183,30,dense
