original_size,new_size,size_increase,accuracy,training_epochs
1000,3000.0,2.0,0.795799970626831,30
2000,6000.0,2.0,0.8245000243186951,30
3000,9000.0,2.0,0.8436999917030334,30
4000,12000.0,2.0,0.8583999872207642,30
5000,15000.0,2.0,0.8614000082015991,30
6000,18000.0,2.0,0.8684999942779541,30
7000,21000.0,2.0,0.8755999803543091,30
8000,24000.0,2.0,0.8837000131607056,30
9000,27000.0,2.0,0.8826000094413757,30
10000,30000.0,2.0,0.883899986743927,30
1000,2000.0,1.0,0.8009999990463257,30
2000,4000.0,1.0,0.8310999870300293,30
3000,6000.0,1.0,0.8503000140190125,30
4000,8000.0,1.0,0.8575999736785889,30
5000,10000.0,1.0,0.8673999905586243,30
6000,12000.0,1.0,0.8690999746322632,30
7000,14000.0,1.0,0.8737000226974487,30
8000,16000.0,1.0,0.8828999996185303,30
9000,18000.0,1.0,0.882099986076355,30
10000,20000.0,1.0,0.8883000016212463,30
1000,1500.0,0.5,0.7973999977111816,30
2000,3000.0,0.5,0.8349999785423279,30
3000,4500.0,0.5,0.8440999984741211,30
4000,6000.0,0.5,0.8535000085830688,30
5000,7500.0,0.5,0.8640000224113464,30
6000,9000.0,0.5,0.8701000213623047,30
7000,10500.0,0.5,0.8734999895095825,30
8000,12000.0,0.5,0.8766000270843506,30
9000,13500.0,0.5,0.8783000111579895,30
10000,15000.0,0.5,0.8838000297546387,30
1000,1200.0,0.2,0.802299976348877,30
2000,2400.0,0.2,0.8307999968528748,30
3000,3600.0,0.2,0.8486999869346619,30
4000,4800.0,0.2,0.8547999858856201,30
5000,6000.0,0.2,0.8634999990463257,30
6000,7200.0,0.2,0.8659999966621399,30
7000,8400.0,0.2,0.8723999857902527,30
8000,9600.0,0.2,0.8780999779701233,30
9000,10800.0,0.2,0.8784000277519226,30
10000,12000.0,0.2,0.8824999928474426,30
1000,1100.0,0.1,0.7990000247955322,30
2000,2200.0,0.1,0.8327999711036682,30
3000,3300.0000000000005,0.1,0.8479999899864197,30
4000,4400.0,0.1,0.8579000234603882,30
5000,5500.0,0.1,0.8651999831199646,30
6000,6600.000000000001,0.1,0.8704000115394592,30
7000,7700.000000000001,0.1,0.8715999722480774,30
8000,8800.0,0.1,0.878600001335144,30
9000,9900.0,0.1,0.8797000050544739,30
10000,11000.0,0.1,0.885200023651123,30
1000,1000.0,0.0,0.8008999824523926,30
2000,2000.0,0.0,0.823199987411499,30
3000,3000.0,0.0,0.8468000292778015,30
4000,4000.0,0.0,0.8582000136375427,30
5000,5000.0,0.0,0.8626000285148621,30
6000,6000.0,0.0,0.864300012588501,30
7000,7000.0,0.0,0.8716999888420105,30
8000,8000.0,0.0,0.8744999766349792,30
9000,9000.0,0.0,0.8774999976158142,30
10000,10000.0,0.0,0.8787000179290771,30
