original_size,new_size,size_increase,accuracy,training_epochs
1000,1000.0,0.0,0.501800000667572,30
2000,2000.0,0.0,0.5982999801635742,30
3000,3000.0,0.0,0.6459000110626221,30
4000,4000.0,0.0,0.6646000146865845,30
5000,5000.0,0.0,0.6851999759674072,30
6000,6000.0,0.0,0.7042999863624573,30
7000,7000.0,0.0,0.7073000073432922,30
8000,8000.0,0.0,0.71670001745224,30
9000,9000.0,0.0,0.7224000096321106,30
10000,10000.0,0.0,0.7254999876022339,30
1000,1100.0,0.1,0.4742999970912933,30
2000,2200.0,0.1,0.5719000101089478,30
3000,3300.0000000000005,0.1,0.6230999827384949,30
4000,4400.0,0.1,0.6593999862670898,30
5000,5500.0,0.1,0.679099977016449,30
6000,6600.000000000001,0.1,0.6947000026702881,30
7000,7700.000000000001,0.1,0.7055000066757202,30
8000,8800.0,0.1,0.7197999954223633,30
9000,9900.0,0.1,0.7182999849319458,30
10000,11000.0,0.1,0.7278000116348267,30
1000,1200.0,0.2,0.4853000044822693,30
2000,2400.0,0.2,0.5940999984741211,30
3000,3600.0,0.2,0.63919997215271,30
4000,4800.0,0.2,0.6664999723434448,30
5000,6000.0,0.2,0.6807000041007996,30
6000,7200.0,0.2,0.6967999935150146,30
7000,8400.0,0.2,0.7113999724388123,30
8000,9600.0,0.2,0.7139999866485596,30
9000,10800.0,0.2,0.7203999757766724,30
10000,12000.0,0.2,0.729200005531311,30
1000,1500.0,0.5,0.5401999950408936,30
2000,3000.0,0.5,0.6237999796867371,30
3000,4500.0,0.5,0.6607000231742859,30
4000,6000.0,0.5,0.6862999796867371,30
5000,7500.0,0.5,0.6983000040054321,30
6000,9000.0,0.5,0.7099000215530396,30
7000,10500.0,0.5,0.7297000288963318,30
8000,12000.0,0.5,0.7361000180244446,30
9000,13500.0,0.5,0.7404000163078308,30
10000,15000.0,0.5,0.7386000156402588,30
1000,2000.0,1.0,0.5110999941825867,30
2000,4000.0,1.0,0.590399980545044,30
3000,6000.0,1.0,0.6463000178337097,30
4000,8000.0,1.0,0.6773999929428101,30
5000,10000.0,1.0,0.696399986743927,30
6000,12000.0,1.0,0.7145000100135803,30
7000,14000.0,1.0,0.7239999771118164,30
8000,16000.0,1.0,0.7336000204086304,30
9000,18000.0,1.0,0.7379999756813049,30
10000,20000.0,1.0,0.7437999844551086,30
1000,3000.0,2.0,0.5813999772071838,30
2000,6000.0,2.0,0.6567999720573425,30
3000,9000.0,2.0,0.6899999976158142,30
4000,12000.0,2.0,0.7092000246047974,30
5000,15000.0,2.0,0.7214000225067139,30
6000,18000.0,2.0,0.7321000099182129,30
7000,21000.0,2.0,0.7422000169754028,30
8000,24000.0,2.0,0.7501999735832214,30
9000,27000.0,2.0,0.7559999823570251,30
10000,30000.0,2.0,0.7615000009536743,30
