original_size,new_size,size_increase,accuracy,training_epochs
1000,1000.0,0.0,0.6825000047683716,30
2000,2000.0,0.0,0.7493000030517578,30
3000,3000.0,0.0,0.7617999911308289,30
4000,4000.0,0.0,0.7842000126838684,30
5000,5000.0,0.0,0.7965999841690063,30
6000,6000.0,0.0,0.807200014591217,30
7000,7000.0,0.0,0.8136000037193298,30
8000,8000.0,0.0,0.8235999941825867,30
9000,9000.0,0.0,0.8282999992370605,30
10000,10000.0,0.0,0.8345000147819519,30
1000,1100.0,0.1,0.6956999897956848,30
2000,2200.0,0.1,0.7466999888420105,30
3000,3300.0000000000005,0.1,0.7752000093460083,30
4000,4400.0,0.1,0.7882999777793884,30
5000,5500.0,0.1,0.8008000254631042,30
6000,6600.000000000001,0.1,0.8133000135421753,30
7000,7700.000000000001,0.1,0.8205000162124634,30
8000,8800.0,0.1,0.822700023651123,30
9000,9900.0,0.1,0.8303999900817871,30
10000,11000.0,0.1,0.8343999981880188,30
1000,1200.0,0.2,0.6872000098228455,30
2000,2400.0,0.2,0.7472000122070312,30
3000,3600.0,0.2,0.775600016117096,30
4000,4800.0,0.2,0.7975000143051147,30
5000,6000.0,0.2,0.8015000224113464,30
6000,7200.0,0.2,0.8102999925613403,30
7000,8400.0,0.2,0.8241000175476074,30
8000,9600.0,0.2,0.8299000263214111,30
9000,10800.0,0.2,0.8331000208854675,30
10000,12000.0,0.2,0.8352000117301941,30
1000,1500.0,0.5,0.7148000001907349,30
2000,3000.0,0.5,0.7573000192642212,30
3000,4500.0,0.5,0.7756999731063843,30
4000,6000.0,0.5,0.796999990940094,30
5000,7500.0,0.5,0.8055999875068665,30
6000,9000.0,0.5,0.8169000148773193,30
7000,10500.0,0.5,0.8227999806404114,30
8000,12000.0,0.5,0.8299999833106995,30
9000,13500.0,0.5,0.8299000263214111,30
10000,15000.0,0.5,0.8335000276565552,30
1000,2000.0,1.0,0.7208999991416931,30
2000,4000.0,1.0,0.7810999751091003,30
3000,6000.0,1.0,0.7954000234603882,30
4000,8000.0,1.0,0.8112000226974487,30
5000,10000.0,1.0,0.8180999755859375,30
6000,12000.0,1.0,0.8289999961853027,30
7000,14000.0,1.0,0.8305000066757202,30
8000,16000.0,1.0,0.8378999829292297,30
9000,18000.0,1.0,0.8371999859809875,30
10000,20000.0,1.0,0.848800003528595,30
1000,3000.0,2.0,0.7289000153541565,30
2000,6000.0,2.0,0.7821999788284302,30
3000,9000.0,2.0,0.801800012588501,30
4000,12000.0,2.0,0.8162999749183655,30
5000,15000.0,2.0,0.8252000212669373,30
6000,18000.0,2.0,0.8288000226020813,30
7000,21000.0,2.0,0.8356000185012817,30
8000,24000.0,2.0,0.8411999940872192,30
9000,27000.0,2.0,0.8492000102996826,30
10000,30000.0,2.0,0.8540999889373779,30
