original_size,size_increase,total_size,accuracy,training_epochs,model
1000,9000,10000,0.9352999925613404,30,cnn
2000,8000,10000,0.95660001039505,30,cnn
3000,7000,10000,0.966099977493286,30,cnn
4000,6000,10000,0.9696000218391418,30,cnn
5000,5000,10000,0.9740999937057496,30,cnn
6000,4000,10000,0.9760000109672546,30,cnn
7000,3000,10000,0.9782000184059144,30,cnn
8000,2000,10000,0.9807000160217284,30,cnn
9000,1000,10000,0.9810000061988832,30,cnn
10000,0,10000,0.9818000197410583,30,cnn
1000,9000,10000,0.8662999868392944,30,simple_cnn
2000,8000,10000,0.8967000246047974,30,simple_cnn
3000,7000,10000,0.9138000011444092,30,simple_cnn
4000,6000,10000,0.9248999953269958,30,simple_cnn
5000,5000,10000,0.9308000206947328,30,simple_cnn
6000,4000,10000,0.9362000226974488,30,simple_cnn
7000,3000,10000,0.9387999773025512,30,simple_cnn
8000,2000,10000,0.9387000203132628,30,simple_cnn
9000,1000,10000,0.9376999735832214,30,simple_cnn
10000,0,10000,0.9384999871253968,30,simple_cnn
1000,9000,10000,0.7389000058174133,30,dense
2000,8000,10000,0.7771999835968018,30,dense
3000,7000,10000,0.7935000061988831,30,dense
4000,6000,10000,0.8072999715805054,30,dense
5000,5000,10000,0.8122000098228455,30,dense
6000,4000,10000,0.8180000185966492,30,dense
7000,3000,10000,0.8252000212669373,30,dense
8000,2000,10000,0.828499972820282,30,dense
9000,1000,10000,0.8285999894142151,30,dense
10000,0,10000,0.8284000158309937,30,dense
