original_size,new_size,size_increase,accuracy,training_epochs
1000,1100.0,0.1,0.9122999906539916,30
2000,2200.0,0.1,0.9438999891281128,30
3000,3300.0000000000005,0.1,0.9541000127792358,30
4000,4400.0,0.1,0.9621000289916992,30
5000,5500.0,0.1,0.9671000242233276,30
6000,6600.000000000001,0.1,0.9700000286102296,30
7000,7700.000000000001,0.1,0.973800003528595,30
8000,8800.0,0.1,0.9753999710083008,30
9000,9900.0,0.1,0.9722999930381776,30
10000,11000.0,0.1,0.9761000275611876,30
1000,1200.0,0.2,0.912500023841858,30
2000,2400.0,0.2,0.9408000111579896,30
3000,3600.0,0.2,0.9585000276565552,30
4000,4800.0,0.2,0.9646000266075134,30
5000,6000.0,0.2,0.9682000279426576,30
6000,7200.0,0.2,0.9679999947547911,30
7000,8400.0,0.2,0.9697999954223632,30
8000,9600.0,0.2,0.973900020122528,30
9000,10800.0,0.2,0.9750999808311462,30
10000,12000.0,0.2,0.9767000079154968,30
1000,1500.0,0.5,0.9229999780654908,30
2000,3000.0,0.5,0.9437999725341796,30
3000,4500.0,0.5,0.9559999704360962,30
4000,6000.0,0.5,0.9657999873161316,30
5000,7500.0,0.5,0.9713000059127808,30
6000,9000.0,0.5,0.9725000262260436,30
7000,10500.0,0.5,0.9763000011444092,30
8000,12000.0,0.5,0.9765999913215636,30
9000,13500.0,0.5,0.9763000011444092,30
10000,15000.0,0.5,0.9800000190734864,30
1000,2000.0,1.0,0.921999990940094,30
2000,4000.0,1.0,0.9433000087738036,30
3000,6000.0,1.0,0.960099995136261,30
4000,8000.0,1.0,0.9678000211715698,30
5000,10000.0,1.0,0.9692999720573424,30
6000,12000.0,1.0,0.9739999771118164,30
7000,14000.0,1.0,0.9747999906539916,30
8000,16000.0,1.0,0.9765999913215636,30
9000,18000.0,1.0,0.9793999791145324,30
10000,20000.0,1.0,0.9817000031471252,30
1000,3000.0,2.0,0.923799991607666,30
2000,6000.0,2.0,0.942799985408783,30
3000,9000.0,2.0,0.959500014781952,30
4000,12000.0,2.0,0.967199981212616,30
5000,15000.0,2.0,0.9699000120162964,30
6000,18000.0,2.0,0.975000023841858,30
7000,21000.0,2.0,0.9765999913215636,30
8000,24000.0,2.0,0.9782000184059144,30
9000,27000.0,2.0,0.98089998960495,30
10000,30000.0,2.0,0.9794999957084656,30
1000,1100.0,0.1,0.9086999893188475,30
2000,2200.0,0.1,0.944100022315979,30
3000,3300.0000000000005,0.1,0.9599000215530396,30
4000,4400.0,0.1,0.964299976825714,30
5000,5500.0,0.1,0.966099977493286,30
6000,6600.000000000001,0.1,0.9724000096321106,30
7000,7700.000000000001,0.1,0.9749000072479248,30
8000,8800.0,0.1,0.9745000004768372,30
9000,9900.0,0.1,0.9751999974250792,30
10000,11000.0,0.1,0.9775999784469604,30
1000,1100.0,0.1,0.9160000085830688,30
2000,2200.0,0.1,0.9437000155448914,30
3000,3300.0000000000005,0.1,0.9581000208854676,30
4000,4400.0,0.1,0.9645000100135804,30
5000,5500.0,0.1,0.9688000082969666,30
6000,6600.000000000001,0.1,0.972100019454956,30
7000,7700.000000000001,0.1,0.9740999937057496,30
8000,8800.0,0.1,0.9746999740600586,30
9000,9900.0,0.1,0.9743000268936156,30
10000,11000.0,0.1,0.9753000140190125,30
1000,1200.0,0.2,0.9079999923706056,30
2000,2400.0,0.2,0.9417999982833862,30
3000,3600.0,0.2,0.9573000073432922,30
4000,4800.0,0.2,0.9610000252723694,30
5000,6000.0,0.2,0.9670000076293944,30
6000,7200.0,0.2,0.9682000279426576,30
7000,8400.0,0.2,0.9735999703407288,30
8000,9600.0,0.2,0.9747999906539916,30
9000,10800.0,0.2,0.975600004196167,30
10000,12000.0,0.2,0.9758999943733216,30
1000,1200.0,0.2,0.9236000180244446,30
2000,2400.0,0.2,0.944700002670288,30
3000,3600.0,0.2,0.9535999894142152,30
4000,4800.0,0.2,0.9614999890327454,30
5000,6000.0,0.2,0.9675999879837036,30
6000,7200.0,0.2,0.9713000059127808,30
7000,8400.0,0.2,0.973800003528595,30
8000,9600.0,0.2,0.9763000011444092,30
9000,10800.0,0.2,0.975000023841858,30
10000,12000.0,0.2,0.9787999987602234,30
1000,1500.0,0.5,0.9160000085830688,30
2000,3000.0,0.5,0.9456999897956848,30
3000,4500.0,0.5,0.954800009727478,30
4000,6000.0,0.5,0.963599979877472,30
5000,7500.0,0.5,0.968500018119812,30
6000,9000.0,0.5,0.973900020122528,30
7000,10500.0,0.5,0.973800003528595,30
8000,12000.0,0.5,0.9771000146865844,30
9000,13500.0,0.5,0.978600025177002,30
10000,15000.0,0.5,0.9782000184059144,30
1000,2000.0,1.0,0.9226999878883362,30
2000,4000.0,1.0,0.941100001335144,30
3000,6000.0,1.0,0.9560999870300292,30
4000,8000.0,1.0,0.9657999873161316,30
5000,10000.0,1.0,0.9696000218391418,30
6000,12000.0,1.0,0.973200023174286,30
7000,14000.0,1.0,0.9729999899864196,30
8000,16000.0,1.0,0.9782000184059144,30
9000,18000.0,1.0,0.9794999957084656,30
10000,20000.0,1.0,0.9800999760627748,30
1000,2000.0,1.0,0.9169999957084656,30
2000,4000.0,1.0,0.9416999816894532,30
3000,6000.0,1.0,0.9532999992370604,30
4000,8000.0,1.0,0.9639000296592712,30
5000,10000.0,1.0,0.9713000059127808,30
6000,12000.0,1.0,0.974399983882904,30
