original_size,new_size,size_increase,accuracy,training_epochs
1000,1000.0,0.0,0.3973000049591064,30
2000,2000.0,0.0,0.6008999943733215,30
3000,3000.0,0.0,0.6866000294685364,30
4000,4000.0,0.0,0.7402999997138977,30
5000,5000.0,0.0,0.76910001039505,30
6000,6000.0,0.0,0.789900004863739,30
7000,7000.0,0.0,0.8066999912261963,30
8000,8000.0,0.0,0.8213000297546387,30
9000,9000.0,0.0,0.8289999961853027,30
10000,10000.0,0.0,0.8363999724388123,30
1000,1100.0,0.1,0.4318000078201294,30
2000,2200.0,0.1,0.6237999796867371,30
3000,3300.0000000000005,0.1,0.6908000111579895,30
4000,4400.0,0.1,0.7416999936103821,30
5000,5500.0,0.1,0.7678999900817871,30
6000,6600.000000000001,0.1,0.7879999876022339,30
7000,7700.000000000001,0.1,0.8023999929428101,30
8000,8800.0,0.1,0.8148999810218811,30
9000,9900.0,0.1,0.8213000297546387,30
10000,11000.0,0.1,0.8306999802589417,30
1000,1200.0,0.2,0.4293999969959259,30
2000,2400.0,0.2,0.6237999796867371,30
3000,3600.0,0.2,0.6930000185966492,30
4000,4800.0,0.2,0.7459999918937683,30
5000,6000.0,0.2,0.7738000154495239,30
6000,7200.0,0.2,0.79830002784729,30
7000,8400.0,0.2,0.8125,30
8000,9600.0,0.2,0.8256999850273132,30
9000,10800.0,0.2,0.8289999961853027,30
10000,12000.0,0.2,0.8366000056266785,30
1000,1500.0,0.5,0.5023000240325928,30
2000,3000.0,0.5,0.6740000247955322,30
3000,4500.0,0.5,0.7429999709129333,30
4000,6000.0,0.5,0.7749999761581421,30
5000,7500.0,0.5,0.7950000166893005,30
6000,9000.0,0.5,0.8102999925613403,30
7000,10500.0,0.5,0.8242999911308289,30
8000,12000.0,0.5,0.838100016117096,30
9000,13500.0,0.5,0.8457000255584717,30
10000,15000.0,0.5,0.8547000288963318,30
1000,2000.0,1.0,0.5455999970436096,30
2000,4000.0,1.0,0.7002999782562256,30
3000,6000.0,1.0,0.7609999775886536,30
4000,8000.0,1.0,0.7858999967575073,30
5000,10000.0,1.0,0.8093000054359436,30
6000,12000.0,1.0,0.8208000063896179,30
7000,14000.0,1.0,0.8364999890327454,30
8000,16000.0,1.0,0.8446999788284302,30
9000,18000.0,1.0,0.8535000085830688,30
10000,20000.0,1.0,0.858299970626831,30
1000,3000.0,2.0,0.6122000217437744,30
2000,6000.0,2.0,0.7361000180244446,30
3000,9000.0,2.0,0.7746999859809875,30
4000,12000.0,2.0,0.8069000244140625,30
5000,15000.0,2.0,0.8220000267028809,30
6000,18000.0,2.0,0.8337000012397766,30
7000,21000.0,2.0,0.847599983215332,30
8000,24000.0,2.0,0.8557000160217285,30
9000,27000.0,2.0,0.8561999797821045,30
10000,30000.0,2.0,0.861299991607666,30
