original_size,new_size,size_increase,accuracy,training_epochs
1000,3000.0,2.0,0.817300021648407,30
2000,6000.0,2.0,0.8948000073432922,30
3000,9000.0,2.0,0.9056000113487244,30
4000,12000.0,2.0,0.916599988937378,30
5000,15000.0,2.0,0.9265999794006348,30
6000,18000.0,2.0,0.9348999857902528,30
7000,21000.0,2.0,0.9405999779701232,30
8000,24000.0,2.0,0.9413999915122986,30
9000,27000.0,2.0,0.946399986743927,30
10000,30000.0,2.0,0.9477999806404114,30
1000,2000.0,1.0,0.8179000020027161,30
2000,4000.0,1.0,0.8780999779701233,30
3000,6000.0,1.0,0.9096999764442444,30
4000,8000.0,1.0,0.9212999939918518,30
5000,10000.0,1.0,0.9272000193595886,30
6000,12000.0,1.0,0.9394000172615052,30
7000,14000.0,1.0,0.9426000118255616,30
8000,16000.0,1.0,0.942200005054474,30
9000,18000.0,1.0,0.9459999799728394,30
10000,20000.0,1.0,0.9484999775886536,30
1000,1500.0,0.5,0.8065999746322632,30
2000,3000.0,0.5,0.8694999814033508,30
3000,4500.0,0.5,0.901099979877472,30
4000,6000.0,0.5,0.9197999835014344,30
5000,7500.0,0.5,0.9318000078201294,30
6000,9000.0,0.5,0.9366999864578248,30
7000,10500.0,0.5,0.9431999921798706,30
8000,12000.0,0.5,0.9459999799728394,30
9000,13500.0,0.5,0.9490000009536744,30
10000,15000.0,0.5,0.9491000175476074,30
1000,1200.0,0.2,0.7695000171661377,30
2000,2400.0,0.2,0.8403000235557556,30
3000,3600.0,0.2,0.8711000084877014,30
4000,4800.0,0.2,0.8910999894142151,30
5000,6000.0,0.2,0.9090999960899352,30
6000,7200.0,0.2,0.91839998960495,30
7000,8400.0,0.2,0.9276999831199646,30
8000,9600.0,0.2,0.9361000061035156,30
9000,10800.0,0.2,0.9412999749183656,30
10000,12000.0,0.2,0.944000005722046,30
1000,1100.0,0.1,0.7724000215530396,30
2000,2200.0,0.1,0.8429999947547913,30
3000,3300.0000000000005,0.1,0.8734999895095825,30
4000,4400.0,0.1,0.8978000283241272,30
5000,5500.0,0.1,0.9121000170707704,30
6000,6600.000000000001,0.1,0.9236999750137328,30
7000,7700.000000000001,0.1,0.9286999702453612,30
8000,8800.0,0.1,0.939300000667572,30
9000,9900.0,0.1,0.9444000124931335,30
10000,11000.0,0.1,0.9474999904632568,30
1000,1000.0,0.0,0.7739999890327454,30
2000,2000.0,0.0,0.8493000268936157,30
3000,3000.0,0.0,0.871999979019165,30
4000,4000.0,0.0,0.895799994468689,30
5000,5000.0,0.0,0.9121000170707703,30
6000,6000.0,0.0,0.9240000247955322,30
7000,7000.0,0.0,0.9301999807357788,30
8000,8000.0,0.0,0.9350000023841858,30
9000,9000.0,0.0,0.9426000118255615,30
10000,10000.0,0.0,0.9445000290870667,30
